DATA:,NODE #93

FROM:,2019-02-14 09:49:36
TO:,2019-09-10 09:49:36

SENSOR:,Soil moisture,%
VALUE, TIMESTAMP
7.2,2019-02-14 18:43:08
7.2,2019-02-14 21:41:43
7.2,2019-02-15 00:40:21
7.2,2019-02-15 03:38:55
7.2,2019-02-15 06:37:30
7.2,2019-02-15 09:36:10
7.2,2019-02-15 12:34:44
20.6,2019-02-15 15:33:17
19.1,2019-02-15 18:31:53
18.2,2019-02-15 21:30:36
17.1,2019-02-16 00:29:05
16,2019-02-16 03:27:40
15.1,2019-02-16 06:26:15
14.7,2019-02-16 09:24:51
14.3,2019-02-16 12:23:31
14.3,2019-02-16 15:22:10
13.5,2019-02-16 18:20:45
13.5,2019-02-16 21:19:18
12.8,2019-02-17 00:17:50
12.7,2019-02-17 03:16:28
12.7,2019-02-17 06:15:11
12.7,2019-02-17 06:17:11
12.7,2019-02-17 12:12:13
12.7,2019-02-17 12:23:42
12.7,2019-02-17 15:10:49
12.7,2019-02-17 18:09:29
12.7,2019-02-17 21:08:07
12.3,2019-02-18 00:06:40
11.9,2019-02-18 03:05:21
11.9,2019-02-18 03:07:21
11.9,2019-02-18 06:03:47
11.9,2019-02-18 09:02:24
11.9,2019-02-18 12:00:58
11.9,2019-02-18 14:59:34
11.9,2019-02-18 17:58:10
11.9,2019-02-18 20:56:46
11.9,2019-02-18 23:55:25
11.9,2019-02-19 02:54:41
11.9,2019-02-19 05:52:40
11.9,2019-02-19 08:51:14
11.9,2019-02-19 11:49:45
11.9,2019-02-19 14:48:22
11.9,2019-02-19 17:47:01
11.9,2019-02-19 20:45:32
11.1,2019-02-19 23:44:07
11.1,2019-02-20 02:42:48
11.1,2019-02-20 05:41:20
11.1,2019-02-20 08:39:55
11.1,2019-02-20 11:38:34
11.1,2019-02-20 14:37:11
11.1,2019-02-20 17:35:43
11.1,2019-02-20 20:34:22
11.1,2019-02-20 23:32:53
11.1,2019-02-21 02:31:32
11.1,2019-02-21 05:30:13
11.1,2019-02-21 05:32:14
11.1,2019-02-21 08:28:41
11.1,2019-02-21 11:27:16
11.1,2019-02-21 14:26:13
11.1,2019-02-21 17:24:27
11.1,2019-02-21 20:23:03
11.1,2019-02-21 23:21:39
11.1,2019-02-22 02:20:14
10.3,2019-02-22 05:18:51
10.3,2019-02-22 08:17:25
10.3,2019-02-22 11:16:02
11.1,2019-02-22 14:14:38
11.2,2019-02-22 17:13:12
11.1,2019-02-22 20:11:49
11.1,2019-02-22 23:10:23
11.1,2019-02-23 02:08:59
10.9,2019-02-23 05:07:39
10.3,2019-02-23 08:06:10
10.3,2019-02-23 11:04:46
10.3,2019-02-23 14:03:21
11.1,2019-02-23 17:01:57
10.3,2019-02-23 20:00:33
10.3,2019-02-23 22:59:15
10.3,2019-02-24 01:57:51
10.3,2019-02-24 04:56:25
10.3,2019-02-24 07:54:55
10.3,2019-02-24 10:53:30
10.3,2019-02-24 13:52:07
11.1,2019-02-24 16:50:50
10.3,2019-02-24 19:49:17
10.3,2019-02-24 22:47:57
10.3,2019-02-25 01:46:29
10.3,2019-02-25 04:45:18
10.3,2019-02-25 04:47:17
9.5,2019-02-25 07:43:41
9.5,2019-02-25 10:42:27
9.5,2019-02-25 10:44:25
10.3,2019-02-25 13:40:52
10.3,2019-02-25 16:39:34
10.3,2019-02-25 19:38:02
10.3,2019-02-25 22:36:39
9.5,2019-02-26 01:35:16
9.5,2019-02-26 04:33:50
9.5,2019-02-26 07:32:30
9.5,2019-02-26 10:31:00
9.5,2019-02-26 13:29:40
10.3,2019-02-26 16:28:12
9.8,2019-02-26 19:26:48
9.5,2019-02-26 22:25:24
9.5,2019-02-27 01:24:00
9.5,2019-02-27 04:22:35
9.5,2019-02-27 07:21:10
9.5,2019-02-27 10:19:47
9.5,2019-02-27 13:18:29
19.1,2019-02-27 16:16:57
17.1,2019-02-27 19:15:33
16.8,2019-02-27 22:14:08
16,2019-02-28 01:12:44
15.1,2019-02-28 04:11:20
15.1,2019-02-28 07:09:56
15.1,2019-02-28 10:08:31
15.1,2019-02-28 13:07:06
14.3,2019-02-28 16:05:48
14.3,2019-02-28 19:04:39
14.3,2019-02-28 19:06:43
14.3,2019-02-28 22:02:57
14.3,2019-03-01 01:01:29
14.3,2019-03-01 04:00:15
14.3,2019-03-01 04:02:16
14.3,2019-03-01 06:58:41
14.3,2019-03-01 09:57:23
14.3,2019-03-01 12:55:53
14.3,2019-03-01 15:54:35
13.5,2019-03-01 18:53:05
13.5,2019-03-01 21:51:40
13.5,2019-03-02 00:50:22
13.5,2019-03-02 03:48:59
13.5,2019-03-02 06:47:29
13.5,2019-03-02 09:46:16
13.5,2019-03-02 09:48:15
13.5,2019-03-02 12:44:49
13.5,2019-03-02 12:46:49
13.5,2019-03-02 15:43:16
12.7,2019-03-02 18:41:52
12.7,2019-03-02 21:40:28
12.7,2019-03-03 00:39:03
12.7,2019-03-03 03:37:39
12.7,2019-03-03 06:36:26
12.7,2019-03-03 06:38:34
12.7,2019-03-03 06:43:33
12.7,2019-03-03 09:34:51
12.7,2019-03-03 12:33:30
12.7,2019-03-03 15:32:05
12.7,2019-03-03 18:30:38
12.7,2019-03-03 21:29:21
12.7,2019-03-04 00:27:49
12.7,2019-03-04 03:26:25
12.7,2019-03-04 12:22:21
12.7,2019-03-04 12:24:26
13.1,2019-03-04 15:20:52
12.7,2019-03-04 18:19:26
12.7,2019-03-04 21:18:04
12.7,2019-03-05 00:16:46
12.7,2019-03-05 00:18:50
12.7,2019-03-05 03:15:15
12.7,2019-03-05 06:13:52
12.7,2019-03-05 09:12:26
12.7,2019-03-05 12:11:03
12.7,2019-03-05 15:09:39
12.7,2019-03-05 18:08:13
12.7,2019-03-05 21:06:49
11.9,2019-03-06 00:05:29
11.9,2019-03-06 03:04:02
11.9,2019-03-06 06:02:39
11.9,2019-03-06 09:01:13
11.9,2019-03-06 11:59:50
12.5,2019-03-06 14:58:24
11.9,2019-03-06 17:57:00
11.9,2019-03-06 20:55:39
11.9,2019-03-06 23:54:12
11.9,2019-03-07 02:52:49
11.9,2019-03-07 05:51:24
11.9,2019-03-07 08:49:59
11.9,2019-03-07 11:48:41
11.9,2019-03-07 11:50:45
11.9,2019-03-07 14:47:17
11.9,2019-03-07 14:49:21
11.9,2019-03-07 17:45:51
11.9,2019-03-07 20:44:22
11.1,2019-03-07 23:42:59
11.1,2019-03-08 02:41:36
11.1,2019-03-08 05:40:17
11.1,2019-03-08 05:42:20
11.1,2019-03-08 08:38:45
