DATA:,NODE #95,
,,
FROM:,01-05-2019 05:52,
TO:,04-09-2019 05:52,
,,
SENSOR:,Soil moisture,%
VALUE, TIMESTAMP,
6.7,01-05-2019 07:56,
6.7,01-05-2019 07:58,
6.7,01-05-2019 08:03,
6.7,01-05-2019 10:54,
6.1,01-05-2019 13:53,
6.1,01-05-2019 16:51,
6.1,01-05-2019 19:50,
6.1,01-05-2019 22:49,
5.7,02-05-2019 01:47,
5.7,02-05-2019 01:49,
5.6,02-05-2019 04:46,
5.6,02-05-2019 07:44,
5.6,02-05-2019 07:47,
5.6,02-05-2019 10:43,
6,02-05-2019 13:42,
6,02-05-2019 13:44,
6,02-05-2019 13:49,
5.6,02-05-2019 16:40,
5.6,02-05-2019 16:43,
5.6,02-05-2019 16:48,
5.6,02-05-2019 19:39,
5.6,02-05-2019 22:37,
5.6,03-05-2019 04:35,
5.6,03-05-2019 07:33,
5.6,03-05-2019 10:32,
5.6,03-05-2019 13:30,
5.6,03-05-2019 16:29,
5.6,03-05-2019 19:28,
5.6,03-05-2019 22:26,
5.2,04-05-2019 01:25,
5.2,04-05-2019 01:27,
5,04-05-2019 04:23,
5,04-05-2019 07:22,
5,04-05-2019 10:21,
5,04-05-2019 10:23,
5,04-05-2019 10:28,
5.6,04-05-2019 13:19,
5.6,04-05-2019 16:18,
5.6,04-05-2019 16:20,
5.6,04-05-2019 16:25,
5.6,04-05-2019 19:17,
5.6,04-05-2019 19:19,
5.6,04-05-2019 22:15,
5.6,04-05-2019 22:17,
5.6,04-05-2019 22:22,
5,05-05-2019 01:14,
5,05-05-2019 01:16,
5,05-05-2019 01:21,
5,05-05-2019 04:12,
5,05-05-2019 07:11,
5,05-05-2019 07:13,
5,05-05-2019 07:18,
5,05-05-2019 10:09,
5,05-05-2019 10:12,
5,05-05-2019 10:17,
5,05-05-2019 13:08,
5.2,05-05-2019 16:07,
5.2,05-05-2019 16:09,
5.2,05-05-2019 16:14,
5.6,05-05-2019 19:05,
5.6,05-05-2019 19:07,
5,05-05-2019 22:04,
5,06-05-2019 01:02,
5,06-05-2019 04:01,
5,06-05-2019 06:59,
5,06-05-2019 09:58,
5,06-05-2019 10:00,
5,06-05-2019 10:06,
5,06-05-2019 12:57,
5,06-05-2019 15:55,
5,06-05-2019 18:54,
5,06-05-2019 18:56,
5,06-05-2019 19:01,
5,06-05-2019 21:52,
5,07-05-2019 00:51,
4.4,07-05-2019 03:50,
4.4,07-05-2019 03:52,
4.4,07-05-2019 03:57,
4.4,07-05-2019 06:48,
4.4,07-05-2019 06:50,
4.4,07-05-2019 09:47,
5,07-05-2019 12:45,
5,07-05-2019 15:44,
5,07-05-2019 18:43,
5,07-05-2019 18:45,
5,07-05-2019 18:50,
5,07-05-2019 21:41,
4.4,08-05-2019 00:40,
4.4,08-05-2019 00:42,
4.4,08-05-2019 03:39,
4.4,08-05-2019 03:41,
4.4,08-05-2019 03:46,
4.4,08-05-2019 06:37,
4.4,08-05-2019 09:36,
4.4,08-05-2019 12:34,
5,08-05-2019 15:33,
5,08-05-2019 15:35,
5,08-05-2019 15:40,
5,08-05-2019 18:31,
5,08-05-2019 18:34,
5,08-05-2019 18:39,
5,08-05-2019 21:30,
5,09-05-2019 00:28,
5,09-05-2019 03:27,
5,09-05-2019 03:29,
4.4,09-05-2019 06:26,
4.4,09-05-2019 09:24,
4.4,09-05-2019 09:26,
4.6,09-05-2019 12:23,
4.6,09-05-2019 12:25,
4.6,09-05-2019 12:30,
5,09-05-2019 15:22,
5,09-05-2019 15:24,
5,09-05-2019 15:29,
5,09-05-2019 18:38,
5,09-05-2019 18:41,
5,09-05-2019 21:19,
5,09-05-2019 21:21,
5,10-05-2019 00:17,
4.7,10-05-2019 03:16,
4.7,10-05-2019 03:18,
4.7,10-05-2019 03:23,
4.4,10-05-2019 06:14,
4.4,10-05-2019 09:13,
4.4,10-05-2019 12:12,
4.4,10-05-2019 12:14,
5,10-05-2019 15:11,
5,10-05-2019 15:12,
5,10-05-2019 15:18,
5,10-05-2019 18:09,
5,10-05-2019 21:07,
5,11-05-2019 00:06,
4.4,11-05-2019 03:05,
4.4,11-05-2019 03:07,
4.4,11-05-2019 06:03,
4.4,11-05-2019 09:02,
4.4,11-05-2019 12:01,
4.4,11-05-2019 12:03,
4.7,11-05-2019 14:59,
4.7,11-05-2019 15:01,
5,11-05-2019 17:58,
5,11-05-2019 20:56,
4.4,11-05-2019 23:55,
4.4,11-05-2019 23:57,
4.4,12-05-2019 00:02,
4.4,12-05-2019 02:53,
4.4,12-05-2019 05:53,
4.4,12-05-2019 05:54,
4.4,12-05-2019 06:01,
4.4,12-05-2019 08:51,
4.4,12-05-2019 11:49,
4.4,12-05-2019 14:48,
4.4,12-05-2019 17:46,
4.4,12-05-2019 20:45,
4.4,12-05-2019 20:47,
4.4,12-05-2019 23:44,
4.4,13-05-2019 02:42,
4.4,13-05-2019 05:41,
4.4,13-05-2019 05:43,
4.4,13-05-2019 08:39,
4.4,13-05-2019 11:38,
4.4,13-05-2019 14:37,
4.4,13-05-2019 14:39,
4.4,13-05-2019 17:35,
4.4,13-05-2019 17:37,
4.4,13-05-2019 17:43,
4.4,13-05-2019 20:34,
4.4,13-05-2019 20:36,
4.4,13-05-2019 23:32,
4.4,13-05-2019 23:35,
4.4,13-05-2019 23:40,
4.4,14-05-2019 02:31,
4.4,14-05-2019 02:33,
4.4,14-05-2019 05:30,
3.8,14-05-2019 08:28,
4.4,14-05-2019 11:27,
4.4,14-05-2019 11:29,
4.4,14-05-2019 14:25,
4.4,14-05-2019 17:24,
4.4,14-05-2019 17:26,
4.4,14-05-2019 20:23,
4.4,14-05-2019 20:25,
4.4,14-05-2019 20:30,
4.4,14-05-2019 23:21,
4.4,15-05-2019 02:20,
4.4,15-05-2019 02:22,
4.4,15-05-2019 05:18,
3.8,15-05-2019 08:17,
3.8,15-05-2019 11:29,
3.8,15-05-2019 11:34,
4.4,15-05-2019 14:14,
4.4,15-05-2019 14:16,
4.4,15-05-2019 14:21,
4.4,15-05-2019 17:13,
4.4,15-05-2019 17:15,
4.4,15-05-2019 17:20,
4.4,15-05-2019 20:11,
4.4,15-05-2019 23:10,
4.4,15-05-2019 23:12,
3.8,16-05-2019 02:09,
3.8,16-05-2019 02:11,
3.8,16-05-2019 02:16,
3.8,16-05-2019 05:07,
3.8,16-05-2019 05:09,
3.8,16-05-2019 08:06,
3.8,16-05-2019 08:08,
3.8,16-05-2019 08:13,
3.8,16-05-2019 11:04,
3.8,16-05-2019 11:06,
3.8,16-05-2019 14:03,
3.8,16-05-2019 14:05,
3.8,16-05-2019 14:10,
4.4,16-05-2019 17:02,
4.4,16-05-2019 17:04,
4.4,16-05-2019 20:00,
3.8,16-05-2019 22:59,
3.8,16-05-2019 23:01,
3.8,16-05-2019 23:06,
